,Job Title,Company Name,Location,Posted Date,Job Link
33,Senior Data Analyst,Amar Bank,Jakarta,2023-09-25,https://id.linkedin.com/jobs/view/data-analyst-consumer-lending-risk-at-traveloka-3727677170?refId=Zfw%2B6s%2FJqzuF6SAFNxQ4bw%3D%3D&trackingId=8utLH93VvWoUUcYmtFpSfw%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
34,Business Intelligence Analyst Intern,Flash Coffee,Jakarta,2023-09-23,https://id.linkedin.com/jobs/view/sales-data-analyst-at-skintific-3727420465?refId=Zfw%2B6s%2FJqzuF6SAFNxQ4bw%3D%3D&trackingId=hldXzYb8ftEgzmiyRzQ6YA%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
35,Data Analyst (Consumer Lending - Risk),Traveloka,Area DKI Jakarta,2023-09-06,https://id.linkedin.com/jobs/view/data-analyst-senior-lead-at-gojek-3676162315?refId=Zfw%2B6s%2FJqzuF6SAFNxQ4bw%3D%3D&trackingId=9ZsckjPFv1wHK3BdBmiCCQ%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
36,Sales Data Analyst,SKINTIFIC,Jakarta,2023-09-12,https://id.linkedin.com/jobs/view/senior-data-analyst-fintech-at-goto-financial-3691786923?refId=Zfw%2B6s%2FJqzuF6SAFNxQ4bw%3D%3D&trackingId=JjIKYrglECtc1wYd7yxg6g%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
37,Data Analyst Senior Lead,Gojek,Jakarta,2023-09-22,https://id.linkedin.com/jobs/view/business-system-analyst-at-traveloka-3725775416?refId=Zfw%2B6s%2FJqzuF6SAFNxQ4bw%3D%3D&trackingId=HHjU4lod%2Bcd1CPM79SWjbg%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
38,Senior Data Analyst - Fintech,GoTo Financial,Area DKI Jakarta,2023-09-07,https://id.linkedin.com/jobs/view/risk-data-analyst-infrastructure-risk-management-seabank-at-seabank-indonesia-3639848559?refId=Zfw%2B6s%2FJqzuF6SAFNxQ4bw%3D%3D&trackingId=85L7vLfldhIe6oGCYXkhDQ%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
39,Business System Analyst,Traveloka,Area DKI Jakarta,2023-09-21,https://id.linkedin.com/jobs/view/digital-analytics-consultant-indonesia-at-fifty-five-3723965979?refId=Zfw%2B6s%2FJqzuF6SAFNxQ4bw%3D%3D&trackingId=zyCZOFTyt9%2F5xvCF3e%2FTSw%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
40,"Risk Data Analyst & Infrastructure, Risk Management, SeaBank",SeaBank Indonesia,Jakarta,2023-09-25,https://id.linkedin.com/jobs/view/senior-data-analyst-at-julo-3726604247?refId=Zfw%2B6s%2FJqzuF6SAFNxQ4bw%3D%3D&trackingId=aoRaqZaLcX5e2w9kMOC%2Bcg%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
41,Digital Analytics Consultant - Indonesia,fifty-five,Jakarta,2023-08-14,https://id.linkedin.com/jobs/view/data-analyst-data-management-function-at-mufg-3679531209?refId=Zfw%2B6s%2FJqzuF6SAFNxQ4bw%3D%3D&trackingId=APwpZIY7p06%2BCU6jlANMGQ%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
42,Senior Data Analyst,JULO,Jakarta Selatan,2023-09-18,https://id.linkedin.com/jobs/view/data-engineer-associate-at-gravel-3718916683?refId=Zfw%2B6s%2FJqzuF6SAFNxQ4bw%3D%3D&trackingId=Oq2opsTLPfjUduB3cw3iag%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
43,Data Analyst - Data Management Function,MUFG,"Jakarta Raya, Indonesia",2023-08-18,https://id.linkedin.com/jobs/view/data-analyst-multinational-manufacturing-industry-at-michael-page-3575869131?refId=Zfw%2B6s%2FJqzuF6SAFNxQ4bw%3D%3D&trackingId=%2B7MBSoVhx6qH6A0rrkgBwQ%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
44,Data Engineer Associate,Gravel,Area DKI Jakarta,2023-07-31,https://id.linkedin.com/jobs/view/data-engineer-at-indodana-3712665949?refId=Zfw%2B6s%2FJqzuF6SAFNxQ4bw%3D%3D&trackingId=vHkEvLTmlG1JQmWck44miA%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
45,Data Engineer Analyst,PT Bank Mayapada Internasional Tbk,Jakarta,2023-03-29,https://id.linkedin.com/jobs/view/data-engineer-at-pt-bank-keb-hana-indonesia-3695203516?refId=Zfw%2B6s%2FJqzuF6SAFNxQ4bw%3D%3D&trackingId=%2FBat64lKEABB1r6lnynvJw%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
