,Job Title,Company Name,Location,Posted Date,Job Link
19,Data Analyst,Staffinc Group,Jakarta,2023-06-08,https://id.linkedin.com/jobs/view/data-analyst-at-staffinc-group-3631617133?refId=%2FGEE4Bs%2BVS6YfeRdSF4puw%3D%3D&trackingId=j746DgLYPIPw7oKPU7klcA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
20,Data Analyst - Mobility,Gojek,Jakarta,2023-09-15,https://id.linkedin.com/jobs/view/data-analyst-mobility-at-gojek-3702968978?refId=%2FGEE4Bs%2BVS6YfeRdSF4puw%3D%3D&trackingId=AICTuKLmQ%2FxnSzXO5z7KLg%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
21,Data Analyst,Cetta Online Class,Jakarta,2023-09-26,https://id.linkedin.com/jobs/view/data-analyst-at-cetta-online-class-3728603616?refId=%2FGEE4Bs%2BVS6YfeRdSF4puw%3D%3D&trackingId=PhBVfHIKGYUcoOHp2LY5Dg%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
22,Sales Data Analyst,SKINTIFIC,Jakarta,2023-09-23,https://id.linkedin.com/jobs/view/sales-data-analyst-at-skintific-3727420465?refId=%2FGEE4Bs%2BVS6YfeRdSF4puw%3D%3D&trackingId=OW06T0rM03Qd%2FgC7J46%2FRg%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
23,Data Analyst Lead,Gojek,Jakarta,2023-09-28,https://id.linkedin.com/jobs/view/data-analyst-lead-at-gojek-3676157950?refId=%2FGEE4Bs%2BVS6YfeRdSF4puw%3D%3D&trackingId=mw%2ByTPOsPqFRJbFecdtJdQ%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
24,Data Analyst (Python Sql & R),PT Shell Infotek Indonesia,Jakarta,2023-08-30,https://id.linkedin.com/jobs/view/data-analyst-consumer-lending-risk-at-traveloka-3727677170?refId=cOfPLBZstrbAceD76HXdLg%3D%3D&trackingId=JTvhC7WLM046YA3JaBoOHQ%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
25,Data Analyst (Consumer Lending - Risk),Traveloka,Area DKI Jakarta,2023-09-25,https://id.linkedin.com/jobs/view/data-analyst-insurance-at-traveloka-3597715701?refId=cOfPLBZstrbAceD76HXdLg%3D%3D&trackingId=YYQrRLHeVxKVkCtbebqxcA%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
26,Data Analyst - Insurance,Traveloka,Area DKI Jakarta,2023-04-09,https://id.linkedin.com/jobs/view/senior-data-analyst-remote-at-love-bonito-3729136534?refId=cOfPLBZstrbAceD76HXdLg%3D%3D&trackingId=8m5kealeG%2FVE4YbHrBb8iA%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
27,Senior Data Analyst (Remote),"Love, Bonito",Area DKI Jakarta,2023-09-27,https://id.linkedin.com/jobs/view/consumer-business-marketing-data-analyst-at-pt-bank-jago-tbk-3714444026?refId=cOfPLBZstrbAceD76HXdLg%3D%3D&trackingId=tCYk0hShI7caKyEDWCM2TA%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
28,Consumer Business Marketing Data Analyst,PT Bank Jago Tbk,Jakarta,2023-08-18,https://id.linkedin.com/jobs/view/data-analyst-fraud-at-traveloka-3730232473?refId=cOfPLBZstrbAceD76HXdLg%3D%3D&trackingId=G0RjZ9OoAj5PPwVjClNChQ%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
29,Data Analyst - Fraud,Traveloka,Area DKI Jakarta,2023-09-29,https://id.linkedin.com/jobs/view/data-analyst-at-wirehire-3722173366?refId=cOfPLBZstrbAceD76HXdLg%3D%3D&trackingId=pReMFABGIX2zOQOgvmJMQQ%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
30,Data Analyst,WireHire,Area DKI Jakarta,2023-09-19,https://id.linkedin.com/jobs/view/flight-data-analyst-at-traveloka-3569176363?refId=cOfPLBZstrbAceD76HXdLg%3D%3D&trackingId=WPDAwyx1lkSbj5Vuao5cuQ%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
31,Data Analyst,PT Bank Mayapada Internasional Tbk,Jakarta,2023-08-18,https://id.linkedin.com/jobs/view/senior-data-analyst-logistics-tech-at-byorange-3667170932?refId=cOfPLBZstrbAceD76HXdLg%3D%3D&trackingId=dQDpZAMuOHxJQm8dmdefSA%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
32,Flight Data Analyst,Traveloka,Area DKI Jakarta,2023-04-14,https://id.linkedin.com/jobs/view/data-analyst-at-nityo-infotech-3689516407?refId=cOfPLBZstrbAceD76HXdLg%3D%3D&trackingId=Z9ypgfljOaEYI0AKENF00g%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
33,Senior Data Analyst (Logistics Tech),byOrange,Jakarta,2023-06-22,https://id.linkedin.com/jobs/view/data-analytics-specialist-at-ringkas-3726569706?refId=cOfPLBZstrbAceD76HXdLg%3D%3D&trackingId=XL357hCFytVqoOeMvlq9uA%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
34,Data Analyst,Nityo Infotech,Jakarta,2023-08-17,https://id.linkedin.com/jobs/view/data-analyst-gt-school-remote-%2430-000-year-usd-at-crossover-3710740797?refId=cOfPLBZstrbAceD76HXdLg%3D%3D&trackingId=fr%2FdzLRE%2FuUb9B2BV8BnLg%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
35,Data Analytics Specialist,Ringkas,Area DKI Jakarta,2023-09-29,https://id.linkedin.com/jobs/view/data-engineer-at-pt-mitra-pinasthika-mustika-rent-mpm-rent-3705657345?refId=cOfPLBZstrbAceD76HXdLg%3D%3D&trackingId=5qf2yhP2dMr2uqjHJuF8yg%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
36,"Data Analyst, gt.school (Remote) - $30,000/year USD",Crossover,Area DKI Jakarta,2023-09-29,https://id.linkedin.com/jobs/view/principal-data-analyst-at-gojek-3716922922?refId=cOfPLBZstrbAceD76HXdLg%3D%3D&trackingId=B3s%2BSad5Z43li01MH4SZBw%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
37,Data Engineer,PT. Mitra Pinasthika Mustika Rent (MPM Rent),Tangerang Selatan,2023-09-06,https://id.linkedin.com/jobs/view/business-intelligence-analyst-intern-at-flash-coffee-3715853791?refId=cOfPLBZstrbAceD76HXdLg%3D%3D&trackingId=pOFoHyHAPYYgwElXjKz4vA%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
